Facility_Name,Requester Type,Type,Street Address,City,State,Zip,Latitude,Longitude
Planned Parenthood - Susan Knapp,FPCI,Public,2304 University Ave.,Des Moines,IA,50311,41.60050198,-93.64855243
Planned Parenthood - Iowa City,FPCI,Public,850 Orchard St.,Iowa City,IA,52246,41.64946231,-91.54099522
Planned Parenthood - Sioux City,FPCI,Public,4409 Stone Ave.,Sioux City,IA,51106,42.47978848,-96.35012213
Planned Parenthood - Urbandale,FPCI,Public,3303 109th St.,Urbandale,IA,50322,41.62490951,-93.7662268
Pottawattamie County Public Health,Iowa HHS,Public,"600 S. 4th St., Ste. 100",Council Bluffs,IA,51501,41.25578395,-95.85048785
Primary Health Care - Ames,FPCI,Public,3510 Lincoln Way,Ames,IA,50014,42.02266388,-93.66628646
Primary Health Care - Marshalltown,FPCI,Public,"101 Iowa Ave., Ste. 102",Marshalltown,IA,50158,42.00789986,-92.91524407
River Hills Community Health Center,Iowa HHS,Public,201 S. Market St.,Ottumwa,IA,52501,41.01764377,-92.4124573
Siouxland Community Health Center,FPCI,Public,1021 Nebraska St.,Sioux City,IA,51105,42.50128699,-96.40456909
Trinity Muscatine Public Health,FPCI,Public,1609 Cedar St.,Muscatine,IA,52761,41.43329108,-91.05622917
Unitypoint Trinity Family Planning,FPCS,Public,"802 Kenyon Rd., Ste. 2C",Fort Dodge,IA,50501,42.49326556,-94.19293945
Women'S Health Services - Clinton,FPCI,Public,"2635 Lincoln Way, Ste. A",Clinton,IA,52732,41.81474621,-90.24974683
Women'S Health Services - Maquoketa,FPCI,Public,229 S. Main St.,Maquoketa,IA,52060,42.06696132,-90.66521623
Buena Vista University Health Services,Student Health,Student Health,"610 W. 4th Street, Box 2015",Storm Lake,IA,50588,42.6422218,-95.2073401
Drake University,Student Health,Student Health,2970 University Ave.,Des Moines,IA,50311,41.60037125,-93.65864125
Grandview University,Student Health,Student Health,1200 Grandview Ave.,Des Moines,IA,50316,41.62095646,-93.60437177
Jefferson High School,Student Health,Student Health,1243 20th St. SW,Cedar Rapids,IA,52404,41.96617634,-91.69856984
Metro Alternative High School Clinic,Student Health,Student Health,1212 7th St. SE,Cedar Rapids,IA,52401,41.97307903,-91.65292845
U Of I Student Health Services,Student Health,Student Health,4189 Westlawn,Iowa City,IA,52242,41.66318252,-91.54292649
Infinity Health - Graceland,Student Health,Student Health,802 E. Ackerly St.,Lamoni,IA,50140,40.62006272,-93.92324648
Grinnell College Student Health,Student Health,Student Health,1119 6th Ave.,Grinnell,IA,50112,41.7478942,-92.7200895
Kennedy High School,Student Health,Student Health,4545 Wenig Road NE,Cedar Rapids,IA,52405,42.02630116,-91.6825564
William Penn Student Health Center,Student Health,Student Health,201 Trueblood Ave.,Oskaloosa,IA,52577,41.30899833,-92.64724126
Hawkeye Community College Student Health,Student Health,Student Health,1501 E. Orange Road,Waterloo,IA,50701,42.43067259,-92.32994027
Simpson College Student Health Center,Student Health,Student Health,701 N. C St.,Indianola,IA,50125,41.36565297,-93.56354833
